# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.404,5.082,26.923,74.111,26.923,74.111,-0.003,-2.288e-8,0.003,-179.999,0.027,0.148,28.61,-80.6,9.792,3.682,0,4.384e-4,9.144e-8,3.172e4,1.049e4,35.695,0.1,245.47,229.704,0.977,0.079,6.848e6,2665.605,4.448,0.472,0.489,0.341,0.01,0.121,0.566,0.553,-3.964e-4,0,0,0,0,1.047e-4,0.003,16.129,204.317,89.988,-0.018,1.765,14.967,1012.654,340.369,0.05,0.016
0.454,6.522,30.689,75.393,30.689,75.394,-0.004,-5.827e-8,0.004,-179.999,0.035,0.167,28.61,-80.6,9.792,3.453,0,6.439e-4,1.046e-7,3.165e4,1.042e4,35.622,0.099,246.122,229.488,1.031,0.09,7.803e6,2701.592,5.747,0.471,0.486,0.34,0.01,0.121,0.524,0.539,-2.204e-4,0,0,0,0,1.74e-4,0.004,16.129,204.317,89.978,-0.018,1.898,14.958,1012.485,340.363,0.05,0.016
0.504,8.152,34.518,76.665,34.518,76.665,-0.006,-1.277e-7,0.006,-179.999,0.043,0.151,28.61,-80.6,9.792,2.899,0,8.906e-4,1.282e-7,3.158e4,1.034e4,35.548,0.099,247.766,229.267,1.147,0.102,8.771e6,2737.111,7.193,0.471,0.482,0.339,0.01,0.121,0.425,0.487,1.778e-4,0,0,0,0,2.634e-4,0.004,16.129,204.317,89.964,-0.017,1.813,14.947,1012.294,340.357,0.05,0.017
0.554,9.976,38.411,77.922,38.411,77.922,-0.008,-2.462e-7,0.008,-179.998,0.05,0.142,28.61,-80.6,9.792,2.612,0,0.001,3.906e-7,3.15e4,1.027e4,35.473,0.099,248.671,229.043,1.217,0.113,9.756e6,2772.143,8.86,0.47,0.479,0.339,0.01,0.122,0.376,0.457,-3.528e-4,0,0,0,0,3.7e-4,0.005,16.129,204.317,89.946,-0.015,1.839,14.935,1012.08,340.35,0.05,0.017
0.604,11.995,42.365,79.164,42.365,79.164,-0.011,-4.292e-7,0.011,-179.998,0.057,0.132,28.61,-80.6,9.792,2.436,0,0.002,6.022e-7,3.143e4,1.02e4,35.397,0.099,249.245,228.814,1.267,0.125,1.076e7,2806.655,10.744,0.47,0.478,0.338,0.01,0.122,0.347,0.438,-2.585e-4,0,0,0,0,5.008e-4,0.005,16.129,204.317,89.922,-0.014,1.918,14.922,1011.843,340.342,0.05,0.018
0.654,14.214,46.381,80.39,46.381,80.39,-0.014,-7.023e-7,0.014,-179.997,0.063,0.093,28.61,-80.6,9.792,2.152,0,0.002,6.059e-7,3.136e4,1.013e4,35.319,0.099,250.198,228.582,1.34,0.136,1.177e7,2840.623,12.823,0.47,0.476,0.338,0.01,0.122,0.301,0.402,-1.544e-4,0,0,0,0,6.521e-4,0.006,16.129,204.317,89.891,-0.015,1.894,14.908,1011.583,340.333,0.05,0.018
0.704,16.635,50.458,81.6,50.458,81.6,-0.017,-1.103e-6,0.017,-179.996,0.067,0.053,28.61,-80.6,9.792,1.994,0,0.002,2.895e-7,3.128e4,1.005e4,35.24,0.099,250.752,228.346,1.389,0.148,1.28e7,2874.029,15.143,0.47,0.475,0.337,0.01,0.123,0.276,0.382,-3.189e-4,0,0,0,0,8.239e-4,0.006,16.129,204.317,89.854,-0.014,1.952,14.892,1011.299,340.323,0.05,0.019
0.754,19.261,54.594,82.791,54.594,82.791,-0.021,-1.675e-6,0.021,-179.995,0.067,0.015,28.61,-80.6,9.792,1.77,0,0.003,6.892e-8,3.121e4,9975.197,35.16,0.099,251.55,228.106,1.454,0.161,1.385e7,2906.84,17.681,0.47,0.474,0.336,0.01,0.123,0.241,0.35,-2.302e-4,0,0,0,0,0.001,0.007,16.129,204.317,89.808,-0.014,1.938,14.875,1010.991,340.313,0.05,0.019
0.804,22.095,58.788,83.963,58.788,83.964,-0.024,-2.46e-6,0.024,-179.994,0.064,0.106,28.61,-80.6,9.792,1.553,0,0.003,6.998e-8,3.113e4,9898.744,35.078,0.099,252.352,227.863,1.518,0.173,1.491e7,2939.033,20.458,0.47,0.474,0.336,0.01,0.124,0.208,0.315,-3.089e-4,0,0,0,0,0.001,0.008,16.129,204.317,89.754,-0.012,1.911,14.856,1010.659,340.302,0.05,0.02
0.854,25.141,63.041,85.115,63.041,85.116,-0.027,-3.488e-6,0.027,-179.993,0.056,0.212,28.61,-80.6,9.792,1.375,0,0.004,5.426e-7,3.105e4,9821.464,34.996,0.099,253.032,227.615,1.576,0.185,1.598e7,2970.592,23.491,0.47,0.473,0.335,0.011,0.124,0.182,0.285,2.111e-4,0,0,0,0,0.001,0.008,16.129,204.317,89.691,-0.011,1.909,14.837,1010.301,340.29,0.05,0.02
0.904,28.401,67.349,86.245,67.349,86.245,-0.03,-4.8e-6,0.03,-179.991,0.043,0.322,28.61,-80.6,9.792,1.281,0,0.004,1.107e-6,3.097e4,9743.413,34.912,0.099,253.407,227.364,1.615,0.198,1.707e7,3001.483,26.801,0.471,0.473,0.335,0.011,0.125,0.169,0.271,-3.807e-4,0,0,0,0,0.002,0.009,16.129,204.317,89.619,-0.011,1.997,14.815,1009.919,340.277,0.05,0.021
0.954,31.877,71.714,87.351,71.714,87.352,-0.031,-6.465e-6,0.031,-179.988,0.023,0.468,28.61,-80.6,9.792,1.143,0,0.005,1.298e-6,3.09e4,9664.55,34.826,0.098,253.959,227.109,1.665,0.211,1.817e7,3031.685,30.37,0.471,0.473,0.334,0.011,0.126,0.149,0.246,-1.479e-4,0,0,0,0,0.002,0.009,16.129,204.317,89.536,-0.012,2.035,14.793,1009.511,340.263,0.05,0.021
1.004,35.573,76.132,88.434,76.132,88.436,-0.032,-8.59e-6,0.032,-179.985,0.004,0.637,28.61,-80.6,9.792,1.015,0,0.005,1.368e-6,3.082e4,9584.915,34.74,0.098,254.482,226.849,1.713,0.224,1.929e7,3061.183,34.219,0.472,0.473,0.334,0.011,0.127,0.131,0.223,2.37e-4,0,0,0,0,0.002,0.01,16.129,204.317,89.443,-0.013,2.085,14.769,1009.078,340.249,0.05,0.021
1.054,39.492,80.604,89.49,80.604,89.495,-0.031,-1.131e-5,0.031,-179.979,0.042,0.87,28.61,-80.6,9.792,0.789,0,0.006,6.131e-7,3.074e4,9504.561,34.652,0.098,255.42,226.587,1.788,0.237,2.041e7,3089.944,38.333,0.472,0.473,0.334,0.011,0.127,0.1,0.177,-6.195e-5,0,0,0,0,0.002,0.01,16.129,204.317,89.339,-0.012,1.997,14.743,1008.618,340.233,0.05,0.022
1.104,43.635,85.127,90.52,85.127,90.527,-0.027,-1.471e-5,0.027,-179.969,0.092,1.119,28.61,-80.6,9.792,0.607,0,0.007,4.286e-8,3.065e4,9423.455,34.563,0.098,256.201,226.32,1.853,0.25,2.155e7,3117.947,42.757,0.473,0.473,0.333,0.011,0.128,0.076,0.139,4.359e-4,0,0,0,0,0.002,0.011,16.129,204.317,89.226,-0.011,1.96,14.716,1008.132,340.217,0.05,0.022
1.154,48.006,89.7,91.521,89.7,91.531,-0.021,-1.882e-5,0.021,-179.949,0.155,1.386,28.61,-80.6,9.792,0.455,0,0.007,7.101e-8,3.057e4,9341.636,34.473,0.098,256.877,226.05,1.911,0.264,2.27e7,3145.181,47.497,0.473,0.474,0.333,0.012,0.129,0.056,0.106,-3.766e-4,0,0,0,0,0.002,0.011,16.129,204.317,89.105,-0.009,1.959,14.688,1007.62,340.2,0.05,0.023
1.204,52.606,94.322,92.491,94.322,92.506,-0.012,-2.359e-5,0.012,-179.884,0.232,1.671,28.61,-80.6,9.792,0.323,0,0.007,-2.72e-7,3.049e4,9259.157,34.382,0.098,257.48,225.776,1.966,0.277,2.386e7,3171.612,52.558,0.474,0.474,0.332,0.012,0.13,0.04,0.076,3.499e-4,0,0,0,0,0.002,0.012,16.129,204.317,88.976,-0.007,1.987,14.658,1007.08,340.182,0.05,0.023
1.254,57.439,98.991,93.431,98.992,93.451,0.002,-2.895e-5,0.002,-0.77,0.323,1.958,28.61,-80.6,9.792,0.237,0,0.008,2.045e-6,3.041e4,9175.99,34.289,0.098,257.893,225.498,2.008,0.291,2.503e7,3197.222,57.955,0.475,0.475,0.332,0.012,0.131,0.029,0.056,4.947e-4,0,0,0,0,0.002,0.013,16.129,204.317,88.841,-0.006,2.089,14.627,1006.513,340.163,0.05,0.024
1.304,62.506,103.706,94.337,103.707,94.366,0.021,-3.482e-5,0.021,-0.095,0.43,2.309,28.61,-80.6,9.792,0.066,0,0.008,4.568e-6,3.032e4,9092.174,34.196,0.098,258.702,225.217,2.076,0.305,2.622e7,3222,63.681,0.476,0.476,0.331,0.012,0.132,0.008,0.015,-9.655e-5,0,0,0,0,0.002,0.013,16.129,204.317,88.703,-0.005,2.037,14.594,1005.919,340.143,0.05,0.024
1.354,67.811,108.464,95.209,108.465,95.247,0.045,-4.117e-5,0.045,-0.052,0.555,2.687,28.61,-80.6,9.792,0.114,0,-0.008,3.505e-6,3.024e4,9007.76,34.101,0.098,258.511,224.931,2.082,0.319,2.741e7,3245.915,69.762,0.477,0.477,0.331,0.013,0.133,0.014,0.03,-2.315e-4,0,0,0,0,-0.002,0.014,16.129,204.317,88.563,-0.004,1.949,14.559,1005.297,340.122,0.05,0.025
1.404,73.354,113.264,96.046,113.267,96.094,0.077,-4.793e-5,0.077,-0.036,0.699,3.049,28.61,-80.6,9.792,0.241,0,-0.007,-4.287e-7,3.015e4,8922.728,34.005,0.098,257.976,224.643,2.067,0.333,2.861e7,3268.95,76.208,0.478,0.478,0.33,0.013,0.134,0.029,0.063,2.852e-4,0,0,0,0,-0.002,0.015,16.129,204.317,88.426,-0.003,1.937,14.523,1004.647,340.1,0.05,0.025
1.454,79.138,118.105,96.847,118.108,96.907,0.116,-5.499e-5,0.116,-0.027,0.861,3.393,28.61,-80.6,9.792,0.331,0,-0.007,3.966e-6,3.007e4,8837.115,33.907,0.097,257.613,224.35,2.062,0.347,2.982e7,3291.096,83.021,0.479,0.479,0.33,0.013,0.136,0.041,0.086,-3.336e-4,0,0,0,0,-0.001,0.015,16.129,204.317,88.296,-0.002,1.971,14.486,1003.968,340.077,0.05,0.026
1.504,85.165,122.984,97.609,122.989,97.683,0.163,-6.222e-5,0.163,-0.022,1.041,3.783,28.61,-80.6,9.792,0.485,0,-0.006,-3.213e-7,2.998e4,8750.973,33.809,0.097,256.98,224.054,2.041,0.362,3.104e7,3312.324,90.222,0.48,0.48,0.329,0.014,0.137,0.06,0.125,-1.525e-4,0,0,0,0,-0.001,0.016,16.129,204.317,88.176,-0.001,1.834,14.446,1003.262,340.053,0.05,0.026
1.554,91.437,127.9,98.336,127.906,98.421,0.22,-6.934e-5,0.22,-0.018,1.238,4.089,28.61,-80.6,9.792,0.547,0,-0.005,-1.222e-6,2.99e4,8664.285,33.71,0.097,256.755,223.755,2.046,0.376,3.226e7,3332.618,97.796,0.481,0.482,0.329,0.014,0.138,0.069,0.14,4.639e-4,0,0,0,0,-6.75e-4,0.016,16.129,204.317,88.072,-1.447e-4,1.846,14.406,1002.526,340.029,0.05,0.027
1.604,97.956,132.85,99.025,132.858,99.121,0.287,-7.616e-5,0.287,-0.015,1.45,4.361,28.61,-80.6,9.792,0.599,0,-0.004,1.303e-6,2.981e4,8577.091,33.609,0.097,256.574,223.452,2.054,0.391,3.349e7,3351.973,105.761,0.482,0.483,0.328,0.014,0.14,0.075,0.155,-6.815e-5,0,0,0,0,-3.738e-4,0.017,16.129,204.317,87.987,-1.737e-5,1.827,14.363,1001.761,340.003,0.05,0.027
1.654,104.723,137.833,99.678,137.843,99.781,0.365,-8.26e-5,0.365,-0.013,1.674,4.529,28.61,-80.6,9.792,0.584,0,-0.003,1.4e-6,2.972e4,8489.437,33.507,0.097,256.682,223.145,2.079,0.406,3.473e7,3370.36,114.103,0.484,0.484,0.328,0.015,0.141,0.073,0.153,-2.83e-4,0,0,0,0,-1.562e-4,0.018,16.129,204.317,87.926,3.799e-5,1.911,14.319,1000.968,339.976,0.05,0.028
1.704,111.74,142.847,100.293,142.86,100.399,0.455,-8.861e-5,0.455,-0.011,1.903,4.607,28.61,-80.6,9.792,0.531,0,-0.001,3.4e-6,2.963e4,8401.315,33.404,0.097,256.956,222.836,2.115,0.42,3.598e7,3387.765,122.839,0.485,0.486,0.327,0.015,0.143,0.067,0.14,1.2e-4,0,0,0,0,-3.573e-5,0.018,16.129,204.317,87.889,4.074e-4,2.037,14.274,1000.145,339.949,0.05,0.028
1.754,119.009,147.89,100.869,147.905,100.976,0.556,-9.412e-5,0.556,-0.01,2.134,4.629,28.61,-80.6,9.792,0.476,0,-5.666e-6,-1.526e-6,2.954e4,8312.764,33.3,0.097,257.24,222.522,2.152,0.435,3.723e7,3404.187,131.987,0.487,0.487,0.326,0.016,0.145,0.059,0.128,1.634e-4,0,0,0,0,0,0.019,16.129,204.317,87.877,-2.303e-4,2.117,14.226,999.292,339.92,0.05,0.029
1.804,126.53,152.96,101.401,152.978,101.508,0.668,-9.918e-5,0.668,-0.009,2.368,4.673,28.61,-80.6,9.792,0.485,0,0.001,-5.94e-7,2.945e4,8223.828,33.195,0.097,257.254,222.206,2.173,0.45,3.848e7,3419.598,141.57,0.489,0.489,0.326,0.016,0.146,0.061,0.132,4.108e-4,0,0,0,0,3.409e-5,0.02,16.129,204.317,87.89,-8.944e-4,1.972,14.178,998.41,339.89,0.05,0.029
1.854,134.305,158.054,101.896,158.076,101.995,0.792,-1.039e-4,0.792,-0.008,2.598,4.509,28.61,-80.6,9.792,0.374,0,0.003,3.97e-7,2.937e4,8134.504,33.089,0.096,257.79,221.886,2.226,0.465,3.974e7,3433.986,151.55,0.49,0.49,0.325,0.017,0.148,0.046,0.103,-2.001e-4,0,0,0,0,1.222e-4,0.02,16.129,204.317,87.928,-0.001,2.089,14.127,997.498,339.86,0.05,0.03
1.904,142.336,163.172,102.347,163.196,102.437,0.928,-1.086e-4,0.928,-0.007,2.819,4.305,28.61,-80.6,9.792,0.279,0,0.004,-1.161e-6,2.928e4,8044.831,32.982,0.096,258.263,221.563,2.275,0.48,4.1e7,3447.354,161.975,0.492,0.492,0.325,0.017,0.15,0.034,0.078,-1.771e-4,0,0,0,0,2.267e-4,0.021,16.129,204.317,87.989,-0.001,2.116,14.075,996.556,339.828,0.05,0.03
1.954,150.623,168.31,102.753,168.337,102.831,1.074,-1.129e-4,1.074,-0.006,3.028,4.021,28.61,-80.6,9.792,0.166,0,0.005,-1.749e-6,2.919e4,7954.851,32.874,0.096,258.831,221.237,2.331,0.496,4.227e7,3459.675,172.849,0.494,0.494,0.324,0.018,0.152,0.02,0.046,-3.649e-4,0,0,0,0,3.118e-4,0.022,16.129,204.317,88.067,-0.001,2.168,14.021,995.584,339.796,0.05,0.031
2.004,159.167,173.466,103.109,173.496,103.177,1.23,-1.17e-4,1.23,-0.005,3.223,3.767,28.61,-80.6,9.792,0.101,5.512e-9,0.005,-4.116e-6,2.91e4,7864.567,32.765,0.096,259.187,220.908,2.373,0.511,4.353e7,3470.94,184.18,0.496,0.496,0.323,0.019,0.154,0.012,0.029,-7.648e-5,0,0,0,0,3.653e-4,0.022,16.129,204.317,88.157,-0.001,2.054,13.965,994.582,339.762,0.05,0.032
