# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,1.319e-4,0.026,2.639,0.026,2.639,0,0,0,0,0,0,28.61,-80.6,9.792,89.205,0,0,0,3.222e4,1.099e4,36.211,0.1,NaN,231.243,NaN,0.006,4.828e5,400.605,1.899e-7,0.63,4.197e-6,0.501,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.378e-6,16.129,204.317,90,0,1.901,15,1013.25,340.389,0.01,0.002
0.02,0.002,0.301,27.509,0.301,27.509,0,0,0,0,0,0,28.61,-80.6,9.792,81.113,0,0,0,3.222e4,1.099e4,36.204,0.1,NaN,231.224,NaN,0.006,4.954e5,1201.794,2.549e-4,0.627,0.005,0.498,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.859e-5,16.129,204.317,90,0,1.928,15,1013.25,340.389,0.01,0.003
0.03,0.007,0.825,52.388,0.825,52.388,0,0,0,0,0,0,28.61,-80.6,9.792,67.106,0,0,0,3.221e4,1.098e4,36.198,0.1,NaN,231.206,NaN,0.006,5.386e5,2002.983,0.004,0.619,0.076,0.489,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.057e-4,16.129,204.317,90,0,1.954,15,1013.249,340.389,0.01,0.004
0.04,0.019,1.475,64.973,1.475,64.973,0,0,0,0,0,0,28.61,-80.6,9.792,53.327,0,0,0,3.22e4,1.097e4,36.186,0.1,NaN,231.168,NaN,0.007,6.27e5,2407.436,0.019,0.603,0.248,0.474,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.888e-4,16.129,204.317,90,0,1.981,15,1013.248,340.389,0.01,0.004
0.05,0.037,2.127,65.241,2.127,65.241,0,0,0,0,0,0,28.61,-80.6,9.792,43.337,0,0,0,3.219e4,1.096e4,36.173,0.1,NaN,231.13,NaN,0.009,7.426e5,2415.154,0.044,0.587,0.415,0.458,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.723e-4,16.129,204.317,90,0,2.007,15,1013.246,340.389,0.01,0.005
0.06,0.061,2.782,65.509,2.782,65.509,0,0,0,0,0,0,28.61,-80.6,9.792,35.295,0,0,0,3.217e4,1.094e4,36.16,0.1,NaN,231.093,NaN,0.01,8.655e5,2422.871,0.08,0.573,0.549,0.444,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.562e-4,16.129,204.317,90,0,1.969,15,1013.243,340.389,0.01,0.006
0.07,0.093,3.44,65.777,3.44,65.777,0,0,0,0,0,0,28.61,-80.6,9.792,29.319,0,0,0,3.216e4,1.093e4,36.148,0.1,NaN,231.055,NaN,0.012,1.002e6,2430.572,0.123,0.56,0.63,0.431,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.404e-4,16.129,204.317,90,0,1.932,14.999,1013.239,340.389,0.01,0.006
0.08,0.13,4.1,66.044,4.1,66.044,0,0,0,0,0,0,28.61,-80.6,9.792,24.796,0,0,0,3.215e4,1.092e4,36.135,0.1,NaN,231.017,NaN,0.013,1.147e6,2438.256,0.171,0.549,0.672,0.42,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.249e-4,16.129,204.317,90,0,1.894,14.999,1013.235,340.388,0.01,0.007
0.09,0.175,4.763,66.312,4.763,66.312,0,0,0,0,0,0,28.61,-80.6,9.792,21.295,0,0,0,3.214e4,1.091e4,36.122,0.1,NaN,230.979,NaN,0.015,1.298e6,2445.941,0.225,0.539,0.687,0.41,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.098e-4,16.129,204.317,90,0,1.856,14.999,1013.23,340.388,0.01,0.007
0.1,0.226,5.429,66.579,5.429,66.579,0,0,0,0,0,0,28.61,-80.6,9.792,18.523,0,0,0,3.212e4,1.089e4,36.109,0.1,NaN,230.941,NaN,0.017,1.454e6,2453.607,0.282,0.53,0.688,0.401,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.951e-4,16.129,204.317,90,0,1.819,14.999,1013.224,340.388,0.01,0.008
0.11,0.283,6.097,66.846,6.097,66.846,0,0,0,0,0,0,28.61,-80.6,9.792,16.755,0,0,0,3.211e4,1.088e4,36.096,0.1,NaN,230.902,NaN,0.019,1.617e6,2461.256,0.344,0.522,0.679,0.393,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.806e-4,16.129,204.317,90,0,1.835,14.998,1013.217,340.388,0.01,0.008
0.12,0.347,6.768,67.113,6.768,67.113,0,0,0,0,0,0,28.61,-80.6,9.792,15.305,0,0,0,3.21e4,1.087e4,36.083,0.1,NaN,230.864,NaN,0.021,1.782e6,2468.905,0.41,0.515,0.665,0.386,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.665e-4,16.129,204.317,90,0,1.852,14.998,1013.209,340.388,0.01,0.009
0.13,0.419,7.442,67.379,7.442,67.379,0,0,0,0,0,0,28.61,-80.6,9.792,14.097,0,0,0,3.209e4,1.085e4,36.07,0.1,NaN,230.825,NaN,0.023,1.948e6,2476.536,0.479,0.509,0.65,0.379,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.528e-4,16.129,204.317,90,0,1.869,14.997,1013.201,340.387,0.01,0.009
0.14,0.496,8.118,67.645,8.118,67.645,0,0,0,0,0,0,28.61,-80.6,9.792,13.076,0,0,0,3.207e4,1.084e4,36.057,0.1,NaN,230.786,NaN,0.024,2.116e6,2484.148,0.551,0.503,0.633,0.373,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,1.885,14.997,1013.192,340.387,0.01,0.01
0.15,0.581,8.797,67.912,8.797,67.912,0,0,0,0,0,0,28.61,-80.6,9.792,12.201,0,0,0,3.206e4,1.083e4,36.044,0.1,NaN,230.747,NaN,0.026,2.285e6,2491.76,0.627,0.498,0.618,0.368,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,1.902,14.996,1013.182,340.387,0.01,0.01
0.16,0.672,9.478,68.178,9.478,68.178,0,0,0,0,0,0,28.61,-80.6,9.792,11.243,0,0,0,3.205e4,1.082e4,36.031,0.1,NaN,230.708,NaN,0.028,2.454e6,2499.353,0.703,0.493,0.602,0.363,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,1.884,14.996,1013.171,340.386,0.01,0.011
0.17,0.77,10.163,68.444,10.163,68.444,0,0,0,0,0,0,28.61,-80.6,9.792,10.405,0,0,0,3.203e4,1.08e4,36.018,0.1,NaN,230.668,NaN,0.03,2.623e6,2506.926,0.783,0.489,0.586,0.359,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,1.866,14.995,1013.16,340.386,0.01,0.011
0.18,0.874,10.839,68.707,10.839,68.707,0,0,0,0,0,0,28.61,-80.6,9.792,9.678,0,0,0,3.202e4,1.079e4,36.005,0.1,NaN,230.63,NaN,0.032,2.792e6,2514.439,0.866,0.485,0.572,0.355,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,1.848,14.994,1013.148,340.385,0.01,0.012
0.189,0.977,11.475,68.959,11.475,68.959,0,0,0,0,0,0,28.61,-80.6,9.792,9.07,0,0,0,3.201e4,1.078e4,35.993,0.1,NaN,230.593,NaN,0.034,2.95e6,2521.64,0.947,0.481,0.561,0.352,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,1.832,14.994,1013.135,340.385,0.009,0.012
0.198,1.079,12.078,69.196,12.078,69.196,0,0,0,0,0,0,28.61,-80.6,9.792,8.552,0,0,0,3.2e4,1.077e4,35.981,0.1,NaN,230.558,NaN,0.036,3.101e6,2528.397,1.027,0.478,0.55,0.348,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,16.129,204.317,90,0,1.816,14.993,1013.123,340.385,0.009,0.012
0.211,1.243,12.986,69.491,12.986,69.491,-8.71e-6,0,8.71e-6,-180,0.001,0.105,28.61,-80.6,9.792,7.963,0,9.557e-6,0,3.198e4,1.075e4,35.963,0.1,236.105,230.506,0.347,0.039,3.329e6,2536.603,1.163,0.476,0.54,0.346,0.01,0.12,1.538,0.533,-3.26e-4,0,0,0,0,2.108e-7,0.002,16.129,204.317,90,0,1.818,14.992,1013.104,340.384,0.013,0.013
0.23,1.511,14.356,69.932,14.356,69.932,-5.572e-5,0,5.572e-5,-180,0.003,0.112,28.61,-80.6,9.792,7.244,0,2.826e-5,0,3.195e4,1.072e4,35.937,0.1,237.387,230.427,0.431,0.043,3.674e6,2548.866,1.391,0.475,0.531,0.345,0.01,0.12,1.352,0.583,-1.696e-4,0,0,0,0,1.513e-6,0.002,16.129,204.317,90,-8.594e-4,1.828,14.99,1013.073,340.383,0.02,0.014
0.26,1.964,16.431,70.593,16.431,70.593,-2.082e-4,0,2.082e-4,-180,0.007,0.123,28.61,-80.6,9.792,6.366,0,6.652e-5,-8.212e-9,3.191e4,1.068e4,35.897,0.1,239.089,230.308,0.544,0.049,4.197e6,2567.195,1.776,0.474,0.519,0.344,0.01,0.12,1.136,0.618,-3.042e-4,0,0,0,0,6.423e-6,0.002,16.129,204.317,89.999,-0.005,1.84,14.987,1013.02,340.381,0.029,0.014
0.304,2.758,19.584,71.579,19.584,71.579,-6.389e-4,0,6.389e-4,-180,0.013,0.136,28.61,-80.6,9.792,5.341,0,1.477e-4,8.37e-9,3.185e4,1.062e4,35.836,0.1,241.293,230.127,0.692,0.058,4.994e6,2594.515,2.452,0.473,0.506,0.343,0.01,0.12,0.903,0.626,-4.783e-4,0,0,0,0,2.236e-5,0.003,16.129,204.317,89.998,-0.009,1.845,14.982,1012.926,340.378,0.044,0.015
0.354,3.828,23.221,72.816,23.221,72.816,-0.001,-7.313e-9,0.001,-180,0.02,0.146,28.61,-80.6,9.792,4.429,0,2.75e-4,1.214e-7,3.179e4,1.056e4,35.766,0.1,243.485,229.917,0.841,0.068,5.912e6,2629.174,3.367,0.472,0.496,0.342,0.01,0.121,0.712,0.599,4.243e-4,0,0,0,0,5.53e-5,0.003,16.129,204.317,89.994,-0.017,1.821,14.975,1012.801,340.374,0.05,0.015
