0.01,1.941e-4,0.039,3.884,0.039,3.884,0,0,0,0,0,0,43.8,-120.6,9.801,89.644,0,0,0,3.393e4,5735.539,74.16,0.105,NaN,264.164,NaN,0.019,1.712e6,464.368,1.649e-7,0.645,3.871e-7,0.515,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.087e-6,16.129,204.317,90,0,6.25,5.809,854.711,334.819,0.01,7.523e-4
0.02,0.002,0.351,31.26,0.351,31.26,0,0,0,0,0,0,43.8,-120.6,9.801,86.843,0,0,0,3.393e4,5728.698,74.146,0.105,NaN,264.135,NaN,0.019,1.748e6,1393.083,1.164e-4,0.644,2.622e-4,0.515,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.699e-5,16.129,204.317,90,0,6.371,5.809,854.711,334.819,0.01,0.001
0.03,0.009,0.938,58.648,0.938,58.648,0,0,0,0,0,0,43.8,-120.6,9.801,81.78,0,0,0,3.392e4,5721.857,74.133,0.105,NaN,264.107,NaN,0.02,1.797e6,2321.799,0.002,0.644,0.004,0.514,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.872e-5,16.129,204.317,90,0,6.492,5.809,854.711,334.819,0.01,0.001
0.04,0.022,1.662,72.472,1.662,72.472,0,0,0,0,0,0,43.8,-120.6,9.801,75.889,0,0,0,3.391e4,5708.124,74.106,0.105,NaN,264.051,NaN,0.02,1.868e6,2789.616,0.01,0.643,0.021,0.513,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.75e-4,16.129,204.317,90,0,6.613,5.809,854.709,334.819,0.01,0.002
0.05,0.042,2.389,72.709,2.389,72.709,0,0,0,0,0,0,43.8,-120.6,9.801,70.464,0,0,0,3.389e4,5694.391,74.078,0.105,NaN,263.995,NaN,0.021,1.958e6,2796.535,0.028,0.642,0.051,0.512,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.515e-4,16.129,204.317,90,0,6.734,5.809,854.707,334.819,0.01,0.002
0.06,0.069,3.119,72.946,3.119,72.946,0,0,0,0,0,0,43.8,-120.6,9.801,65.418,0,0,0,3.388e4,5680.658,74.051,0.105,NaN,263.938,NaN,0.022,2.054e6,2803.454,0.058,0.641,0.095,0.511,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.283e-4,16.129,204.317,90,0,6.817,5.809,854.704,334.819,0.01,0.002
0.07,0.104,3.85,73.182,3.85,73.182,0,0,0,0,0,0,43.8,-120.6,9.801,60.842,0,0,0,3.387e4,5666.824,74.024,0.105,NaN,263.881,NaN,0.024,2.165e6,2810.329,0.101,0.64,0.148,0.51,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.053e-4,16.129,204.317,90,0,6.901,5.809,854.7,334.819,0.01,0.002
0.08,0.146,4.584,73.416,4.584,73.416,0,0,0,0,0,0,43.8,-120.6,9.801,56.722,0,0,0,3.385e4,5652.99,73.996,0.105,NaN,263.825,NaN,0.025,2.289e6,2817.16,0.158,0.639,0.207,0.509,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.826e-4,16.129,204.317,90,0,6.985,5.808,854.696,334.819,0.01,0.002
0.09,0.196,5.321,73.65,5.321,73.65,0,0,0,0,0,0,43.8,-120.6,9.801,53.029,0,0,0,3.384e4,5639.156,73.969,0.105,NaN,263.768,NaN,0.026,2.424e6,2823.991,0.228,0.637,0.267,0.508,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.601e-4,16.129,204.317,90,0,7.068,5.808,854.691,334.819,0.01,0.003
0.1,0.253,6.059,73.882,6.059,73.882,0,0,0,0,0,0,43.8,-120.6,9.801,49.728,0,0,0,3.382e4,5625.222,73.941,0.105,NaN,263.71,NaN,0.028,2.568e6,2830.778,0.312,0.636,0.326,0.507,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.378e-4,16.129,204.317,90,0,7.152,5.808,854.685,334.818,0.01,0.003
