Time,0mm,10mm,20mm,30mm,40mm,50mm,60mm,70mm
18.852,0.466,0.534,0.601,0.669,0.737,0.804,0.872,0.94
18.902,0.466,0.534,0.601,0.669,0.737,0.804,0.872,0.94
18.952,0.466,0.534,0.601,0.669,0.736,0.804,0.872,0.94
19.002,0.466,0.534,0.601,0.669,0.736,0.804,0.872,0.94
19.052,0.466,0.534,0.601,0.669,0.736,0.804,0.872,0.94
19.102,0.466,0.534,0.601,0.669,0.736,0.804,0.872,0.94
19.152,0.466,0.534,0.601,0.669,0.736,0.804,0.872,0.94
19.202,0.466,0.534,0.601,0.669,0.736,0.804,0.872,0.941
19.252,0.466,0.534,0.601,0.669,0.736,0.804,0.872,0.941
19.302,0.466,0.533,0.601,0.669,0.736,0.804,0.872,0.941
19.352,0.466,0.533,0.601,0.669,0.736,0.804,0.872,0.941
19.402,0.466,0.533,0.601,0.669,0.736,0.804,0.872,0.941
19.452,0.466,0.533,0.601,0.669,0.736,0.804,0.872,0.941
19.502,0.466,0.533,0.601,0.669,0.736,0.804,0.872,0.941
19.552,0.466,0.533,0.601,0.669,0.736,0.804,0.872,0.941
19.602,0.466,0.533,0.601,0.669,0.736,0.804,0.872,0.941
19.652,0.466,0.533,0.601,0.669,0.736,0.804,0.872,0.941
19.702,0.466,0.533,0.601,0.669,0.736,0.804,0.873,0.941
19.752,0.466,0.533,0.601,0.669,0.736,0.804,0.873,0.941
19.802,0.466,0.533,0.601,0.669,0.736,0.805,0.873,0.941
19.852,0.466,0.533,0.601,0.669,0.736,0.805,0.873,0.942
19.902,0.465,0.533,0.601,0.669,0.736,0.805,0.873,0.942
19.952,0.465,0.533,0.601,0.669,0.736,0.805,0.873,0.942
20.002,0.465,0.533,0.601,0.669,0.737,0.805,0.873,0.942
20.052,0.465,0.533,0.601,0.669,0.737,0.805,0.873,0.942
20.102,0.465,0.533,0.601,0.669,0.737,0.805,0.873,0.942
20.152,0.465,0.533,0.601,0.669,0.737,0.805,0.873,0.942
20.202,0.465,0.533,0.601,0.669,0.737,0.805,0.873,0.942
20.252,0.465,0.533,0.601,0.669,0.737,0.805,0.874,0.942
20.302,0.465,0.533,0.601,0.669,0.737,0.805,0.874,0.943
20.352,0.465,0.533,0.601,0.669,0.737,0.805,0.874,0.945
20.402,0.465,0.533,0.601,0.669,0.737,0.805,0.874,0.946
20.452,0.465,0.533,0.601,0.669,0.737,0.805,0.874,0.947
20.502,0.465,0.533,0.601,0.669,0.737,0.805,0.874,0.948
20.552,0.465,0.533,0.601,0.669,0.737,0.805,0.874,0.949
20.602,0.465,0.533,0.601,0.669,0.737,0.805,0.874,0.951
20.652,0.465,0.533,0.601,0.669,0.737,0.806,0.875,0.954
20.702,0.465,0.533,0.601,0.669,0.737,0.806,0.877,0.956
20.752,0.465,0.533,0.601,0.669,0.737,0.806,0.879,0.956
20.802,0.465,0.533,0.601,0.669,0.737,0.806,0.88,0.957
20.852,0.465,0.533,0.601,0.669,0.737,0.806,0.881,0.957
20.902,0.465,0.533,0.601,0.669,0.737,0.806,0.883,0.959
20.952,0.465,0.533,0.601,0.669,0.737,0.806,0.884,0.96
21.002,0.465,0.533,0.601,0.669,0.738,0.806,0.886,0.963
21.052,0.465,0.533,0.601,0.669,0.738,0.806,0.888,0.965
21.102,0.465,0.533,0.601,0.669,0.738,0.807,0.889,0.965
21.152,0.465,0.533,0.601,0.669,0.738,0.807,0.89,0.967
21.202,0.465,0.533,0.601,0.669,0.738,0.808,0.892,0.967
21.252,0.465,0.533,0.601,0.669,0.738,0.809,0.893,0.967
21.302,0.465,0.533,0.601,0.669,0.738,0.81,0.894,0.968
21.352,0.465,0.533,0.601,0.67,0.738,0.811,0.897,0.969
21.402,0.465,0.533,0.601,0.67,0.738,0.812,0.899,0.971
21.452,0.465,0.533,0.601,0.67,0.738,0.813,0.899,0.972
21.502,0.465,0.533,0.601,0.67,0.739,0.814,0.9,0.971
21.552,0.465,0.533,0.601,0.67,0.739,0.816,0.901,0.971
21.602,0.465,0.533,0.601,0.67,0.739,0.818,0.902,0.969
21.652,0.465,0.533,0.601,0.67,0.739,0.82,0.903,
21.702,0.465,0.533,0.601,0.67,0.739,0.822,0.903,
21.752,0.465,0.533,0.602,0.67,0.739,0.823,0.903,
21.802,0.465,0.533,0.602,0.67,0.739,0.823,0.904,
21.852,0.465,0.533,0.602,0.67,0.74,0.823,0.906,
21.902,0.465,0.533,0.602,0.67,0.741,0.823,0.908,
21.952,0.465,0.533,0.602,0.67,0.741,0.826,0.908,
22.002,0.465,0.533,0.602,0.671,0.742,0.826,0.908,
22.052,0.465,0.533,0.602,0.671,0.744,0.826,0.909,
22.102,0.465,0.533,0.602,0.671,0.746,0.826,0.908,
22.152,0.465,0.533,0.602,0.671,0.746,0.826,,
22.202,0.465,0.534,0.602,0.671,0.746,0.828,,
22.252,0.465,0.534,0.602,0.671,0.747,0.829,,
22.302,0.465,0.534,0.602,0.671,0.749,0.831,,
22.352,0.465,0.534,0.602,0.671,0.751,0.831,,
22.402,0.465,0.534,0.603,0.671,0.752,0.831,,
22.452,0.465,0.534,0.603,0.671,0.753,0.832,,
22.502,0.465,0.534,0.603,0.671,0.754,0.833,,
22.552,0.465,0.534,0.603,0.671,0.754,0.834,,
22.602,0.465,0.534,0.603,0.672,0.756,0.832,,
22.652,0.465,0.534,0.603,0.672,0.758,,,
22.702,0.465,0.534,0.603,0.672,0.758,,,
22.752,0.465,0.534,0.603,0.674,0.76,,,
22.802,0.465,0.534,0.603,0.676,0.76,,,
22.852,0.465,0.534,0.603,0.677,0.762,,,
22.902,0.466,0.534,0.604,0.677,0.763,,,
22.952,0.466,0.534,0.604,0.679,0.763,,,
23.002,0.466,0.535,0.604,0.681,0.763,,,
23.052,0.466,0.535,0.604,0.683,0.762,,,
23.102,0.466,0.535,0.605,0.685,0.761,,,
23.152,0.466,0.535,0.606,0.686,0.76,,,
23.202,0.466,0.535,0.607,0.687,,,,
23.252,0.466,0.535,0.608,0.687,,,,
23.302,0.466,0.535,0.608,0.687,,,,
23.352,0.466,0.535,0.609,0.688,,,,
23.402,0.466,0.535,0.61,0.689,,,,
23.452,0.466,0.535,0.61,0.689,,,,
23.502,0.466,0.536,0.611,0.689,,,,
23.552,0.466,0.536,0.613,0.691,,,,
23.602,0.466,0.536,0.614,0.691,,,,
23.652,0.466,0.536,0.617,0.69,,,,
23.702,0.467,0.536,0.618,0.69,,,,
23.752,0.467,0.536,0.618,0.692,,,,
23.802,0.467,0.536,0.618,0.692,,,,
23.852,0.467,0.536,0.62,,,,,
23.902,0.467,0.536,0.62,,,,,
23.952,0.467,0.536,0.62,,,,,
24.002,0.467,0.537,0.62,,,,,
24.052,0.467,0.538,0.622,,,,,
24.102,0.467,0.539,0.624,,,,,
24.152,0.467,0.539,0.625,,,,,
24.202,0.467,0.541,0.626,,,,,
24.252,0.467,0.542,0.626,,,,,
24.302,0.467,0.543,0.626,,,,,
24.352,0.468,0.545,0.627,,,,,
24.402,0.468,0.545,0.627,,,,,
24.452,0.468,0.545,0.626,,,,,
24.502,0.468,0.546,0.625,,,,,
24.552,0.468,0.548,,,,,,
24.602,0.468,0.548,,,,,,
24.652,0.468,0.548,,,,,,
24.702,0.468,0.55,,,,,,
24.752,0.468,0.551,,,,,,
24.802,0.468,0.552,,,,,,
24.852,0.468,0.554,,,,,,
24.902,0.468,0.555,,,,,,
24.952,0.469,0.556,,,,,,
25.002,0.469,0.555,,,,,,
25.052,0.469,0.555,,,,,,
25.102,0.469,0.556,,,,,,
25.152,0.469,0.557,,,,,,
25.202,0.469,0.559,,,,,,
25.252,0.472,0.56,,,,,,
25.302,0.472,0.561,,,,,,
25.352,0.473,,,,,,,
25.402,0.475,,,,,,,
25.452,0.475,,,,,,,
25.502,0.476,,,,,,,
25.552,0.476,,,,,,,
25.602,0.477,,,,,,,
25.652,0.478,,,,,,,
25.702,0.478,,,,,,,
25.752,0.479,,,,,,,
25.802,0.478,,,,,,,
25.852,0.478,,,,,,,
25.902,0.477,,,,,,,
25.952,0.477,,,,,,,
26.002,0.478,,,,,,,
26.052,0.477,,,,,,,
26.102,0.478,,,,,,,
26.152,0.478,,,,,,,
26.202,0.478,,,,,,,
26.252,0.48,,,,,,,
