# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,7.666e-5,0.015,1.535,0.015,1.535,0,0,0,0,0,0,28.61,-80.6,9.792,89.575,0,0,0,3.537e4,1.113e4,34.905,0.112,NaN,228.972,NaN,0.006,5.099e5,400.605,3.338e-8,0.611,6.24e-7,0.482,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.963e-6,16.129,204.317,90,0,2.068,15,1013.25,340.389,0.01,0.002
0.02,0.001,0.257,24.193,0.257,24.193,0,0,0,0,0,0,28.61,-80.6,9.792,82.95,0,0,0,3.536e4,1.113e4,34.898,0.112,NaN,228.955,NaN,0.006,5.169e5,1201.794,1.456e-4,0.61,0.003,0.48,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.294e-5,16.129,204.317,90,0,2.08,15,1013.25,340.389,0.01,0.003
0.03,0.006,0.726,46.86,0.726,46.86,0,0,0,0,0,0,28.61,-80.6,9.792,70.87,0,0,0,3.536e4,1.112e4,34.892,0.112,NaN,228.938,NaN,0.007,5.462e5,2002.983,0.003,0.604,0.045,0.475,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.293e-5,16.129,204.317,90,0,2.092,15,1013.249,340.389,0.01,0.004
0.04,0.017,1.309,58.324,1.309,58.324,0,0,0,0,0,0,28.61,-80.6,9.792,58.124,0,0,0,3.534e4,1.111e4,34.879,0.112,NaN,228.903,NaN,0.007,6.113e5,2407.436,0.013,0.593,0.173,0.463,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.676e-4,16.129,204.317,90,0,2.105,15,1013.248,340.389,0.01,0.004
0.05,0.033,1.894,58.566,1.894,58.566,0,0,0,0,0,0,28.61,-80.6,9.792,48.178,0,0,0,3.533e4,1.11e4,34.867,0.112,NaN,228.868,NaN,0.008,7.006e5,2415.154,0.033,0.58,0.323,0.451,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.426e-4,16.129,204.317,90,0,2.117,15,1013.246,340.389,0.01,0.005
0.06,0.054,2.482,58.808,2.482,58.808,0,0,0,0,0,0,28.61,-80.6,9.792,40.502,0,0,0,3.532e4,1.108e4,34.854,0.111,NaN,228.833,NaN,0.01,8.051e5,2422.871,0.06,0.567,0.452,0.438,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.178e-4,16.129,204.317,90,0,2.12,15,1013.244,340.389,0.01,0.005
0.07,0.082,3.073,59.049,3.073,59.049,0,0,0,0,0,0,28.61,-80.6,9.792,34.648,0,0,0,3.531e4,1.107e4,34.841,0.111,NaN,228.798,NaN,0.011,9.211e5,2430.572,0.095,0.556,0.543,0.426,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.934e-4,16.129,204.317,90,0,2.124,14.999,1013.24,340.389,0.01,0.005
0.08,0.116,3.666,59.291,3.666,59.291,0,0,0,0,0,0,28.61,-80.6,9.792,30.122,0,0,0,3.529e4,1.106e4,34.829,0.111,NaN,228.763,NaN,0.012,1.045e6,2438.256,0.135,0.545,0.602,0.416,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.693e-4,16.129,204.317,90,0,2.127,14.999,1013.236,340.388,0.01,0.006
0.09,0.156,4.261,59.532,4.261,59.532,0,0,0,0,0,0,28.61,-80.6,9.792,26.56,0,0,0,3.528e4,1.105e4,34.816,0.111,NaN,228.728,NaN,0.014,1.175e6,2445.941,0.181,0.536,0.637,0.406,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.455e-4,16.129,204.317,90,0,2.13,14.999,1013.232,340.388,0.01,0.006
0.1,0.201,4.858,59.773,4.858,59.773,0,0,0,0,0,0,28.61,-80.6,9.792,23.704,0,0,0,3.527e4,1.103e4,34.803,0.111,NaN,228.692,NaN,0.016,1.309e6,2453.607,0.231,0.527,0.655,0.398,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.22e-4,16.129,204.317,90,0,2.133,14.999,1013.226,340.388,0.01,0.006
0.11,0.253,5.458,60.014,5.458,60.014,0,0,0,0,0,0,28.61,-80.6,9.792,21.436,0,0,0,3.525e4,1.102e4,34.79,0.111,NaN,228.657,NaN,0.017,1.446e6,2461.256,0.285,0.52,0.662,0.39,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.989e-4,16.129,204.317,90,0,2.143,14.998,1013.22,340.388,0.01,0.007
0.12,0.31,6.061,60.255,6.061,60.255,0,0,0,0,0,0,28.61,-80.6,9.792,19.557,0,0,0,3.524e4,1.101e4,34.777,0.111,NaN,228.621,NaN,0.019,1.586e6,2468.905,0.343,0.513,0.662,0.383,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.76e-4,16.129,204.317,90,0,2.153,14.998,1013.214,340.388,0.01,0.007
0.13,0.374,6.666,60.495,6.666,60.495,0,0,0,0,0,0,28.61,-80.6,9.792,17.978,0,0,0,3.523e4,1.099e4,34.764,0.111,NaN,228.585,NaN,0.021,1.728e6,2476.536,0.404,0.507,0.658,0.377,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.534e-4,16.129,204.317,90,0,2.163,14.998,1013.206,340.387,0.01,0.007
0.14,0.444,7.273,60.735,7.273,60.735,0,0,0,0,0,0,28.61,-80.6,9.792,16.635,0,0,0,3.522e4,1.098e4,34.751,0.111,NaN,228.549,NaN,0.022,1.872e6,2484.148,0.47,0.501,0.651,0.372,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.312e-4,16.129,204.317,90,0,2.173,14.997,1013.198,340.387,0.01,0.008
0.15,0.519,7.883,60.976,7.883,60.976,0,0,0,0,0,0,28.61,-80.6,9.792,15.479,0,0,0,3.52e4,1.097e4,34.738,0.111,NaN,228.513,NaN,0.024,2.017e6,2491.76,0.537,0.496,0.642,0.367,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,2.183,14.997,1013.189,340.387,0.01,0.008
0.16,0.601,8.495,61.216,8.495,61.216,0,0,0,0,0,0,28.61,-80.6,9.792,14.581,0,0,0,3.519e4,1.096e4,34.725,0.111,NaN,228.477,NaN,0.026,2.165e6,2499.353,0.608,0.491,0.631,0.362,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,2.21,14.996,1013.179,340.387,0.01,0.008
0.17,0.689,9.109,61.455,9.109,61.455,0,0,0,0,0,0,28.61,-80.6,9.792,13.794,0,0,0,3.518e4,1.094e4,34.711,0.111,NaN,228.44,NaN,0.028,2.313e6,2506.926,0.682,0.487,0.619,0.357,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,2.236,14.996,1013.169,340.386,0.01,0.009
0.18,0.783,9.726,61.695,9.726,61.695,0,0,0,0,0,0,28.61,-80.6,9.792,13.099,0,0,0,3.516e4,1.093e4,34.698,0.111,NaN,228.404,NaN,0.029,2.462e6,2514.499,0.759,0.483,0.608,0.353,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,2.263,14.995,1013.158,340.386,0.01,0.009
0.19,0.884,10.345,61.934,10.345,61.934,0,0,0,0,0,0,28.61,-80.6,9.792,12.481,0,0,0,3.515e4,1.092e4,34.685,0.111,NaN,228.367,NaN,0.031,2.613e6,2522.052,0.84,0.479,0.598,0.35,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,2.29,14.994,1013.146,340.385,0.01,0.009
0.2,0.987,10.946,62.168,10.946,62.168,0,0,0,0,0,0,28.61,-80.6,9.792,11.946,0,0,0,3.514e4,1.09e4,34.672,0.111,NaN,228.331,NaN,0.033,2.759e6,2529.459,0.921,0.476,0.588,0.346,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,2.316,14.994,1013.134,340.385,0.01,0.01
0.209,1.089,11.516,62.393,11.516,62.393,0,0,0,0,0,0,28.61,-80.6,9.792,11.252,0,0,0,3.513e4,1.089e4,34.66,0.111,NaN,228.298,NaN,0.034,2.895e6,2536.541,0.995,0.473,0.577,0.343,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,2.291,14.993,1013.122,340.385,0.009,0.01
0.223,1.253,12.374,62.671,12.374,62.671,-1.158e-5,0,1.158e-5,-180,0.002,0.124,28.61,-80.6,9.792,10.303,0,-6.812e-6,0,3.511e4,1.087e4,34.641,0.111,226.336,228.247,-0.118,0.037,3.101e6,2545.119,1.11,0.469,0.561,0.339,0.01,0.12,2.178,-0.258,-1.129e-5,0,0,0,0,-1.041e-7,0.002,16.129,204.317,90,0,2.251,14.992,1013.103,340.384,0.014,0.01
0.243,1.521,13.67,63.088,13.67,63.088,-7.283e-5,0,7.283e-5,-180,0.004,0.127,28.61,-80.6,9.792,9.089,0,-1.096e-5,8.475e-9,3.508e4,1.085e4,34.613,0.111,228.022,228.17,-0.009,0.041,3.414e6,2557.948,1.308,0.468,0.545,0.338,0.01,0.12,1.825,-0.017,-4.427e-4,0,0,0,0,-2.225e-7,0.002,16.129,204.317,90,-179.972,2.191,14.99,1013.072,340.383,0.021,0.011
0.274,1.972,15.633,63.71,15.633,63.711,-2.664e-4,0,2.664e-4,-180,0.008,0.14,28.61,-80.6,9.792,8.07,0,-5.606e-6,2.815e-8,3.504e4,1.08e4,34.571,0.111,229.599,228.054,0.096,0.046,3.893e6,2577.112,1.659,0.467,0.532,0.337,0.01,0.12,1.548,0.149,-2.82e-5,0,0,0,0,-4.473e-8,0.002,16.129,204.317,90,-179.941,2.225,14.987,1013.019,340.381,0.031,0.011
0.32,2.764,18.619,64.641,18.619,64.641,-8.115e-4,0,8.115e-4,-180,0.015,0.157,28.61,-80.6,9.792,6.814,0,2.26e-5,7.902e-8,3.498e4,1.074e4,34.507,0.111,231.774,227.877,0.242,0.055,4.624e6,2605.664,2.267,0.466,0.515,0.336,0.01,0.12,1.231,0.297,-1.443e-4,0,0,0,0,5.152e-7,0.002,16.129,204.317,90,-179.607,2.24,14.982,1012.926,340.378,0.046,0.012
0.37,3.778,21.904,65.778,21.904,65.778,-0.002,-8.933e-9,0.002,-180,0.023,0.165,28.61,-80.6,9.792,5.546,0,9.163e-5,8.284e-8,3.491e4,1.067e4,34.436,0.111,234.282,227.682,0.409,0.065,5.426e6,2640.993,3.029,0.465,0.5,0.335,0.01,0.121,0.94,0.384,1.204e-4,0,0,0,0,6.151e-6,0.003,16.129,204.317,89.999,-0.065,2.151,14.975,1012.807,340.374,0.05,0.012
0.42,4.956,25.248,66.944,25.248,66.945,-0.003,-2.233e-8,0.003,-180,0.032,0.175,28.61,-80.6,9.792,4.721,0,1.964e-4,-6.074e-8,3.484e4,1.06e4,34.365,0.111,236.113,227.485,0.535,0.074,6.246e6,2677.28,3.939,0.464,0.491,0.334,0.01,0.121,0.765,0.409,2.465e-4,0,0,0,0,2.132e-5,0.003,16.129,204.317,89.997,-0.015,2.118,14.968,1012.669,340.369,0.05,0.013
0.47,6.304,28.65,68.101,28.65,68.101,-0.005,-4.438e-8,0.005,-179.999,0.041,0.184,28.61,-80.6,9.792,4.116,0,3.371e-4,-1.335e-7,3.477e4,1.053e4,34.291,0.111,237.572,227.283,0.638,0.084,7.081e6,2713.119,4.998,0.464,0.484,0.333,0.01,0.121,0.645,0.411,-3.125e-4,0,0,0,0,4.886e-5,0.004,16.129,204.317,89.992,0.001,2.107,14.959,1012.511,340.364,0.05,0.013
0.52,7.823,32.109,69.246,32.109,69.246,-0.007,-7.265e-8,0.007,-179.999,0.05,0.182,28.61,-80.6,9.792,3.543,0,5.135e-4,-2.199e-7,3.47e4,1.046e4,34.217,0.111,239.057,227.078,0.743,0.095,7.929e6,2748.486,6.198,0.463,0.479,0.332,0.01,0.121,0.537,0.399,3.075e-4,0,0,0,0,9.04e-5,0.004,16.129,204.317,89.984,0.009,2.047,14.949,1012.333,340.358,0.05,0.014
0.57,9.516,35.625,70.379,35.625,70.379,-0.01,-1.012e-7,0.01,-179.999,0.059,0.175,28.61,-80.6,9.792,3.072,0,7.236e-4,-1.08e-7,3.462e4,1.039e4,34.142,0.111,240.356,226.87,0.836,0.105,8.792e6,2783.349,7.559,0.463,0.475,0.332,0.01,0.121,0.453,0.378,1.182e-5,0,0,0,0,1.459e-4,0.005,16.129,204.317,89.973,0.01,1.988,14.938,1012.134,340.351,0.05,0.014
0.62,11.387,39.197,71.499,39.197,71.499,-0.013,-1.24e-7,0.013,-179.999,0.067,0.159,28.61,-80.6,9.792,2.665,0,9.664e-4,-4.559e-8,3.455e4,1.032e4,34.065,0.111,241.547,226.658,0.923,0.115,9.669e6,2817.689,9.084,0.463,0.472,0.331,0.01,0.122,0.383,0.353,-1.828e-5,0,0,0,0,2.152e-4,0.005,16.129,204.317,89.958,0.007,1.921,14.926,1011.915,340.344,0.05,0.014
0.67,13.437,42.824,72.604,42.824,72.605,-0.017,-1.415e-7,0.017,-180,0.075,0.139,28.61,-80.6,9.792,2.367,0,0.001,-2.488e-8,3.448e4,1.024e4,33.987,0.111,242.463,226.443,0.993,0.126,1.056e7,2851.481,10.789,0.463,0.47,0.331,0.01,0.122,0.334,0.331,1.722e-4,0,0,0,0,2.938e-4,0.005,16.129,204.317,89.938,0.003,1.891,14.913,1011.674,340.336,0.05,0.015
0.72,15.67,46.505,73.694,46.505,73.694,-0.021,-1.601e-7,0.021,-180,0.081,0.124,28.61,-80.6,9.792,2.222,0,0.002,-2.562e-8,3.44e4,1.017e4,33.908,0.111,242.925,226.224,1.035,0.137,1.146e7,2884.694,12.695,0.462,0.469,0.33,0.01,0.122,0.31,0.321,-1.595e-5,0,0,0,0,3.904e-4,0.006,16.129,204.317,89.913,0.001,1.956,14.898,1011.412,340.327,0.05,0.015
0.77,18.089,50.241,74.768,50.241,74.768,-0.025,-1.827e-7,0.025,-180,0.087,0.096,28.61,-80.6,9.792,2.07,0,0.002,-1.676e-8,3.433e4,1.009e4,33.827,0.111,243.42,226.002,1.08,0.148,1.238e7,2917.308,14.784,0.462,0.468,0.329,0.01,0.123,0.286,0.309,2.702e-4,0,0,0,0,5.026e-4,0.006,16.129,204.317,89.882,0.001,2.006,14.882,1011.128,340.318,0.05,0.016
0.82,20.696,54.029,75.826,54.029,75.826,-0.029,-2.124e-7,0.029,-180,0.091,0.045,28.61,-80.6,9.792,1.857,0,0.002,-2.026e-7,3.425e4,1.001e4,33.745,0.111,244.128,225.777,1.138,0.159,1.331e7,2949.303,17.052,0.463,0.467,0.329,0.01,0.123,0.253,0.288,8.578e-5,0,0,0,0,6.338e-4,0.007,16.129,204.317,89.845,0.002,1.989,14.865,1010.823,340.307,0.05,0.016
0.87,23.493,57.869,76.865,57.869,76.865,-0.034,-2.381e-7,0.034,-180,0.091,0.029,28.61,-80.6,9.792,1.614,0,0.003,-4.721e-7,3.417e4,9936.363,33.663,0.111,244.96,225.548,1.204,0.17,1.425e7,2980.644,19.512,0.463,0.466,0.329,0.01,0.124,0.217,0.261,-1.574e-4,0,0,0,0,7.614e-4,0.007,16.129,204.317,89.8,0.002,1.924,14.847,1010.495,340.296,0.05,0.017
0.92,26.484,61.76,77.885,61.76,77.885,-0.038,-2.467e-7,0.038,-180,0.088,0.103,28.61,-80.6,9.792,1.477,0,0.003,-6.382e-7,3.409e4,9858.006,33.578,0.11,245.448,225.315,1.248,0.182,1.521e7,3011.316,22.199,0.463,0.466,0.328,0.01,0.124,0.197,0.244,-2.214e-4,0,0,0,0,9.041e-4,0.008,16.129,204.317,89.748,0.003,1.952,14.828,1010.144,340.285,0.05,0.017
0.97,29.67,65.701,78.885,65.701,78.885,-0.042,-2.194e-7,0.042,-180,0.08,0.205,28.61,-80.6,9.792,1.296,0,0.004,-3.141e-7,3.401e4,9778.9,33.493,0.11,246.104,225.079,1.304,0.193,1.617e7,3041.297,25.09,0.463,0.465,0.328,0.011,0.125,0.17,0.222,-9.851e-5,0,0,0,0,0.001,0.008,16.129,204.317,89.688,0.003,1.925,14.807,1009.77,340.272,0.05,0.017
1.02,33.055,69.692,79.864,69.692,79.864,-0.046,-1.445e-7,0.046,-180,0.067,0.323,28.61,-80.6,9.792,1.133,0,0.004,-1.009e-6,3.393e4,9699.062,33.406,0.11,246.712,224.84,1.356,0.205,1.715e7,3070.554,28.205,0.463,0.465,0.327,0.011,0.125,0.147,0.199,-1.826e-4,0,0,0,0,0.001,0.009,16.129,204.317,89.619,0.003,1.908,14.785,1009.373,340.259,0.05,0.018
1.07,36.64,73.73,80.82,73.73,80.822,-0.049,-1.08e-8,0.049,-180,0.047,0.466,28.61,-80.6,9.792,0.962,0,0.004,8.853e-9,3.385e4,9618.424,33.319,0.11,247.366,224.598,1.412,0.217,1.814e7,3099.074,31.547,0.464,0.465,0.327,0.011,0.126,0.124,0.173,1.045e-4,0,0,0,0,0.001,0.009,16.129,204.317,89.543,0.003,1.873,14.762,1008.953,340.245,0.05,0.018
1.12,40.429,77.815,81.754,77.815,81.756,-0.051,2.147e-7,0.051,180,0.019,0.64,28.61,-80.6,9.792,0.761,0,0.005,-8.057e-7,3.377e4,9537.093,33.23,0.11,248.149,224.352,1.475,0.229,1.914e7,3126.835,35.121,0.464,0.465,0.326,0.011,0.127,0.096,0.141,1.417e-4,0,0,0,0,0.001,0.01,16.129,204.317,89.458,0.003,1.79,14.737,1008.508,340.23,0.05,0.019
1.17,44.423,81.945,82.662,81.945,82.666,-0.051,5.631e-7,0.051,179.999,0.018,0.82,28.61,-80.6,9.792,0.618,0,0.005,-1.543e-6,3.369e4,9455.088,33.14,0.11,248.73,224.103,1.527,0.241,2.015e7,3153.806,38.951,0.465,0.465,0.326,0.011,0.128,0.078,0.117,-4.469e-4,0,0,0,0,0.001,0.01,16.129,204.317,89.366,0.003,1.773,14.711,1008.04,340.214,0.05,0.019
1.22,48.625,86.12,83.545,86.12,83.551,-0.049,1.086e-6,0.049,179.999,0.064,1.009,28.61,-80.6,9.792,0.511,0,0.006,-1.231e-6,3.361e4,9372.348,33.048,0.11,249.179,223.85,1.57,0.253,2.117e7,3179.976,43.039,0.465,0.466,0.325,0.011,0.128,0.064,0.098,-3.233e-4,0,0,0,0,0.002,0.011,16.129,204.317,89.267,0.003,1.806,14.684,1007.547,340.197,0.05,0.02
1.27,53.036,90.337,84.401,90.337,84.41,-0.044,1.815e-6,0.044,179.998,0.119,1.208,28.61,-80.6,9.792,0.424,0,0.006,-2.64e-7,3.352e4,9288.976,32.956,0.11,249.553,223.594,1.609,0.266,2.219e7,3205.323,47.39,0.466,0.466,0.325,0.012,0.129,0.052,0.083,-2.796e-4,0,0,0,0,0.002,0.012,16.129,204.317,89.161,0.003,1.872,14.655,1007.03,340.18,0.05,0.02
1.32,57.659,94.596,85.229,94.596,85.241,-0.037,2.799e-6,0.037,179.996,0.185,1.417,28.61,-80.6,9.792,0.357,0,0.006,-4.154e-7,3.344e4,9204.991,32.862,0.11,249.852,223.335,1.644,0.278,2.323e7,3229.819,52.01,0.467,0.467,0.325,0.012,0.13,0.044,0.07,-4.878e-4,0,0,0,0,0.002,0.012,16.129,204.317,89.05,0.003,1.972,14.625,1006.488,340.162,0.05,0.02
1.37,62.497,98.895,86.028,98.896,86.044,-0.026,4.063e-6,0.026,179.991,0.262,1.66,28.61,-80.6,9.792,0.25,0,0.007,-1.225e-6,3.335e4,9120.343,32.767,0.11,250.321,223.073,1.689,0.291,2.428e7,3253.453,56.898,0.467,0.467,0.324,0.012,0.131,0.031,0.05,7.352e-6,0,0,0,0,0.002,0.013,16.129,204.317,88.933,0.003,2.011,14.594,1005.92,340.143,0.05,0.021
1.42,67.55,103.233,86.797,103.234,86.819,-0.01,5.62e-6,0.01,179.969,0.352,1.934,28.61,-80.6,9.792,0.114,0,0.007,-3.18e-7,3.327e4,9035.126,32.671,0.11,250.921,222.808,1.743,0.304,2.534e7,3276.207,62.065,0.468,0.468,0.324,0.012,0.132,0.014,0.023,-3.88e-5,0,0,0,0,0.002,0.013,16.129,204.317,88.812,0.002,1.993,14.561,1005.328,340.123,0.05,0.021
1.47,72.821,107.608,87.535,107.609,87.563,0.01,7.476e-6,0.01,0.043,0.456,2.226,28.61,-80.6,9.792,0.026,0,-0.007,-4.836e-6,3.318e4,8949.364,32.574,0.11,251.333,222.539,1.785,0.316,2.64e7,3298.053,67.524,0.469,0.469,0.323,0.013,0.133,0.003,0.007,4.282e-4,0,0,0,0,-0.001,0.014,16.129,204.317,88.689,0.002,1.957,14.527,1004.709,340.102,0.05,0.022
1.52,78.311,112.018,88.24,112.019,88.276,0.036,9.632e-6,0.036,0.015,0.576,2.519,28.61,-80.6,9.792,0.142,0,-0.007,-1.888e-6,3.31e4,8863.014,32.476,0.11,250.863,222.267,1.773,0.329,2.747e7,3318.982,73.284,0.47,0.47,0.323,0.013,0.134,0.017,0.031,-2.608e-6,0,0,0,0,-0.001,0.014,16.129,204.317,88.567,0.002,1.947,14.491,1004.065,340.08,0.05,0.025
1.57,84.023,116.462,88.913,116.464,88.957,0.068,1.213e-5,0.068,0.01,0.709,2.786,28.61,-80.6,9.792,0.204,0,-0.006,-2.432e-6,3.301e4,8776.165,32.377,0.11,250.635,221.993,1.776,0.343,2.855e7,3338.979,79.347,0.471,0.471,0.322,0.013,0.135,0.025,0.045,-7.539e-5,0,0,0,0,-0.001,0.015,16.129,204.317,88.448,0.001,2.032,14.454,1003.395,340.058,0.05,0.026
1.62,89.958,120.938,89.553,120.941,89.604,0.107,1.491e-5,0.107,0.008,0.855,3.045,28.61,-80.6,9.792,0.256,0,-0.006,-2.784e-6,3.292e4,8688.84,32.277,0.109,250.451,221.715,1.782,0.356,2.963e7,3358.016,85.718,0.472,0.472,0.322,0.014,0.136,0.031,0.057,-4.289e-4,0,0,0,0,-9.004e-4,0.015,16.129,204.317,88.335,5.166e-4,2.12,14.415,1002.699,340.035,0.05,0.026
1.67,96.118,125.444,90.159,125.448,90.218,0.153,1.792e-5,0.153,0.007,1.013,3.268,28.61,-80.6,9.792,0.266,0,-0.006,2.365e-6,3.284e4,8601.008,32.175,0.109,250.445,221.434,1.799,0.369,3.072e7,3376.089,92.4,0.473,0.473,0.321,0.014,0.138,0.033,0.059,-1.91e-4,0,0,0,0,-7.263e-4,0.016,16.129,204.317,88.229,5.092e-4,2.283,14.375,1001.977,340.01,0.05,0.027
1.72,102.503,129.98,90.729,129.985,90.796,0.208,2.115e-5,0.208,0.006,1.183,3.501,28.61,-80.6,9.792,0.302,0,-0.005,1.977e-6,3.275e4,8512.749,32.073,0.109,250.332,221.15,1.809,0.382,3.182e7,3393.184,99.403,0.474,0.474,0.321,0.014,0.139,0.037,0.067,3.043e-4,0,0,0,0,-5.619e-4,0.017,16.129,204.317,88.131,0.001,2.373,14.334,1001.228,339.985,0.05,0.027
1.77,109.116,134.542,91.261,134.549,91.339,0.272,2.477e-5,0.272,0.005,1.365,3.775,28.61,-80.6,9.792,0.4,0,-0.005,-2.593e-7,3.266e4,8424.087,31.97,0.109,249.966,220.864,1.804,0.396,3.292e7,3409.273,106.739,0.475,0.476,0.32,0.015,0.14,0.05,0.09,-1.637e-4,0,0,0,0,-4.02e-4,0.017,16.129,204.317,88.044,0.002,2.291,14.291,1000.452,339.959,0.05,0.027
1.82,115.958,139.129,91.755,139.137,91.844,0.345,2.891e-5,0.345,0.005,1.561,4.037,28.61,-80.6,9.792,0.498,0,-0.004,-3.554e-6,3.257e4,8335.003,31.865,0.109,249.61,220.574,1.8,0.409,3.402e7,3424.357,114.412,0.477,0.477,0.32,0.015,0.142,0.062,0.112,6.501e-5,0,0,0,0,-2.27e-4,0.018,16.129,204.317,87.971,0.001,2.157,14.246,999.65,339.932,0.05,0.028
1.87,123.03,143.739,92.217,143.75,92.312,0.428,3.354e-5,0.428,0.004,1.767,4.186,28.61,-80.6,9.792,0.503,0,-0.002,-5.267e-6,3.248e4,8245.567,31.76,0.109,249.629,220.282,1.82,0.423,3.513e7,3438.423,122.401,0.478,0.479,0.319,0.015,0.143,0.063,0.114,4.054e-4,0,0,0,0,-9.879e-5,0.018,16.129,204.317,87.917,-1.305e-4,2.196,14.2,998.821,339.904,0.05,0.028
1.92,130.333,148.37,92.642,148.383,92.74,0.522,3.831e-5,0.522,0.004,1.979,4.258,28.61,-80.6,9.792,0.471,0,-0.001,-5.313e-6,3.239e4,8155.806,31.654,0.109,249.801,219.987,1.848,0.437,3.624e7,3451.446,130.72,0.48,0.48,0.319,0.016,0.145,0.059,0.109,-8.013e-5,0,0,0,0,-2.272e-5,0.019,16.129,204.317,87.885,-0.002,2.278,14.153,997.964,339.876,0.05,0.028
1.97,137.867,153.021,93.03,153.037,93.129,0.626,4.271e-5,0.626,0.004,2.193,4.285,28.61,-80.6,9.792,0.438,0,-3.826e-5,-8.554e-7,3.23e4,8065.708,31.546,0.109,249.982,219.69,1.878,0.45,3.736e7,3463.428,139.381,0.481,0.481,0.318,0.016,0.146,0.054,0.102,3.883e-4,0,0,0,0,-2.216e-8,0.02,16.129,204.317,87.874,-0.004,2.318,14.104,997.08,339.846,0.05,0.029
2.02,145.635,157.69,93.379,157.708,93.477,0.741,4.636e-5,0.741,0.004,2.408,4.281,28.61,-80.6,9.792,0.414,0,0.001,1.487e-6,3.221e4,7975.338,31.438,0.109,250.124,219.389,1.906,0.464,3.848e7,3474.361,148.39,0.483,0.483,0.318,0.017,0.148,0.052,0.098,-3.398e-5,0,0,0,0,2.157e-5,0.02,16.129,204.317,87.885,-0.004,2.273,14.053,996.169,339.815,0.05,0.029
2.07,153.637,162.374,93.69,162.396,93.783,0.867,4.918e-5,0.867,0.003,2.62,4.175,28.61,-80.6,9.792,0.346,0,0.002,-1.969e-6,3.212e4,7884.721,31.329,0.109,250.454,219.087,1.945,0.478,3.96e7,3484.221,157.743,0.484,0.485,0.317,0.017,0.15,0.043,0.083,8.968e-5,0,0,0,0,7.718e-5,0.021,16.129,204.317,87.918,-0.004,2.302,14.001,995.231,339.784,0.05,0.029
